"ISO3","YEAR","u5_frac"
"PSE",2025,0.114482187668875
"PSE",2030,0.106055404437057
"PYF",2010,0.0796228449867782
"PYF",2015,0.0811630948183156
"PYF",2020,0.078748080447466
"PYF",2025,0.0742419892106366
"PYF",2030,0.0688606342974137
"QAT",2010,0.0514693883729418
"QAT",2015,0.054553568601003
"QAT",2020,0.0517833045694676
"QAT",2025,0.0434792002275275
"QAT",2030,0.0399544662013353
"REU",2010,0.0875603379390221
"REU",2015,0.0818173166487524
"REU",2020,0.0772045280836284
"REU",2025,0.0730897829774381
"REU",2030,0.0694566821535778
"ROU",2010,0.0502292360119817
"ROU",2015,0.0473692980331884
"ROU",2020,0.0445124869499275
"ROU",2025,0.0418636128034949
"ROU",2030,0.0399582368202991
"RUS",2010,0.0567796393915635
"RUS",2015,0.05867792805913
"RUS",2020,0.0531783143461909
"RUS",2025,0.0468270473421497
"RUS",2030,0.0427594004035592
"RWA",2010,0.172312983662941
"RWA",2015,0.162403046480824
"RWA",2020,0.150065308538932
"RWA",2025,0.135861531862254
"RWA",2030,0.126497734468752
"SAU",2010,0.11458675114906
"SAU",2015,0.0965605101547546
"SAU",2020,0.0882209536289699
"SAU",2025,0.0798495608803503
"SAU",2030,0.0746131052209168
"SDN",2010,0.146752770442438
"SDN",2015,0.136308168692037
"SDN",2020,0.125610892323839
"SDN",2025,0.116150250388219
"SDN",2030,0.10881173730603
"SEN",2010,0.16740618742826
"SEN",2015,0.155437714827597
"SEN",2020,0.142660814329843
"SEN",2025,0.131671085391424
"SEN",2030,0.122802586786872
"SGP",2010,0.0453265932945631
"SGP",2015,0.0401029516064131
"SGP",2020,0.0411362557353701
"SGP",2025,0.0410657045306018
"SGP",2030,0.0405997001929442
"SLB",2010,0.14858737745007
"SLB",2015,0.1303687665219
"SLB",2020,0.11649552667645
"SLB",2025,0.107638288074256
"SLB",2030,0.100905829465688
"SLE",2010,0.165247729200128
"SLE",2015,0.149410638637373
"SLE",2020,0.138015344991957
"SLE",2025,0.127216081495901
"SLE",2030,0.117562918884261
"SLV",2010,0.0995967539443367
